Episode 370: Seed=602644; Reward = 292; Floor=8
Episode 371: Seed=239359; Reward = 263; Floor=7
Episode 372: Seed=89301; Reward = 99; Floor=3
Episode 373: Seed=736196; Reward = -36; Floor=1
Episode 374: Seed=473998; Reward = 225; Floor=6
Episode 375: Seed=138266; Reward = -35; Floor=1
Episode 376: Seed=415111; Reward = 23; Floor=2
Episode 377: Seed=316674; Reward = 283; Floor=8
Episode 378: Seed=392532; Reward = 268; Floor=7
Episode 379: Seed=739904; Reward = 22; Floor=1
Episode 380: Seed=506555; Reward = 259; Floor=7
Episode 381: Seed=555267; Reward = 346; Floor=9
Episode 382: Seed=581516; Reward = 76; Floor=4
Episode 383: Seed=689521; Reward = 20; Floor=3
Episode 384: Seed=37207; Reward = 145; Floor=4
Episode 385: Seed=235901; Reward = 254; Floor=7
Episode 386: Seed=181070; Reward = 215; Floor=6
Episode 387: Seed=242111; Reward = 186; Floor=5
Episode 388: Seed=113641; Reward = -32; Floor=1
Episode 389: Seed=339468; Reward = 238; Floor=7
Episode 390: Seed=817018; Reward = 282; Floor=8
Episode 391: Seed=865847; Reward = 230; Floor=7
Episode 392: Seed=592728; Reward = 263; Floor=7
Episode 393: Seed=622952; Reward = 82; Floor=3
Episode 394: Seed=534055; Reward = 179; Floor=5
Episode 395: Seed=706709; Reward = 225; Floor=6
Episode 396: Seed=899636; Reward = 200; Floor=5
Episode 397: Seed=535820; Reward = 144; Floor=6
Episode 398: Seed=117944; Reward = 91; Floor=3
Episode 399: Seed=682207; Reward = 296; Floor=8
Episode 400: Seed=527504; Reward = 147; Floor=5
Episode 401: Seed=927678; Reward = -20; Floor=1
Episode 402: Seed=540016; Reward = 223; Floor=6
Episode 403: Seed=855529; Reward = 261; Floor=7
Episode 404: Seed=623070; Reward = 296; Floor=8
Episode 405: Seed=443470; Reward = 269; Floor=8
Episode 406: Seed=246; Reward = 146; Floor=5
Episode 407: Seed=826287; Reward = 115; Floor=4
Episode 408: Seed=674842; Reward = 193; Floor=6
Episode 409: Seed=383941; Reward = 197; Floor=5
Episode 410: Seed=206531; Reward = 181; Floor=5
Episode 411: Seed=270938; Reward = 99; Floor=3
Episode 412: Seed=496241; Reward = 201; Floor=6
Episode 413: Seed=449317; Reward = 248; Floor=7
Episode 414: Seed=13185; Reward = 203; Floor=6
Episode 415: Seed=25112; Reward = 145; Floor=4
Episode 416: Seed=721622; Reward = 344; Floor=10
Episode 417: Seed=53027; Reward = 237; Floor=7
Episode 418: Seed=544838; Reward = 357; Floor=11
Episode 419: Seed=410717; Reward = 227; Floor=6
Episode 420: Seed=875620; Reward = 141; Floor=6
Episode 421: Seed=926074; Reward = 204; Floor=5
Episode 422: Seed=593152; Reward = 87; Floor=4
Episode 423: Seed=641028; Reward = 211; Floor=7
Episode 424: Seed=739398; Reward = -30; Floor=1
Episode 425: Seed=150666; Reward = 329; Floor=9
Episode 426: Seed=25640; Reward = 409; Floor=11
Episode 427: Seed=58520; Reward = 352; Floor=10
Episode 428: Seed=180711; Reward = 254; Floor=7
Episode 429: Seed=784376; Reward = 513; Floor=12
Episode 430: Seed=644352; Reward = 255; Floor=7
Episode 431: Seed=745121; Reward = 248; Floor=7
Episode 432: Seed=381342; Reward = 197; Floor=5
Episode 433: Seed=934549; Reward = 307; Floor=9
Episode 434: Seed=618934; Reward = 112; Floor=4
Episode 435: Seed=415522; Reward = 291; Floor=8
Episode 436: Seed=840905; Reward = 9; Floor=2
Episode 437: Seed=48519; Reward = 307; Floor=8
Episode 438: Seed=585809; Reward = 289; Floor=8
Episode 439: Seed=155209; Reward = 91; Floor=3
Episode 440: Seed=534784; Reward = 5; Floor=2
Episode 441: Seed=836550; Reward = 333; Floor=9
Episode 442: Seed=200734; Reward = 245; Floor=7
Episode 443: Seed=144265; Reward = 273; Floor=8
Episode 444: Seed=616963; Reward = 254; Floor=8
Episode 445: Seed=136454; Reward = 114; Floor=4
Episode 446: Seed=436740; Reward = 229; Floor=6
Episode 447: Seed=1912; Reward = 391; Floor=11
Episode 448: Seed=861084; Reward = 204; Floor=6
Episode 449: Seed=167482; Reward = 208; Floor=6
Episode 450: Seed=505380; Reward = 151; Floor=4
Episode 451: Seed=341786; Reward = 254; Floor=7
Episode 452: Seed=369813; Reward = 23; Floor=2
Episode 453: Seed=400838; Reward = 88; Floor=3
Episode 454: Seed=917077; Reward = 287; Floor=8
Episode 455: Seed=687219; Reward = 222; Floor=6
Episode 456: Seed=208746; Reward = 169; Floor=5
Episode 457: Seed=117357; Reward = 262; Floor=7
Episode 458: Seed=676842; Reward = 135; Floor=4
Episode 459: Seed=690766; Reward = 258; Floor=7
Episode 460: Seed=852668; Reward = 184; Floor=5
