Episode 659: Seed=542118; Reward = 7
Episode 660: Seed=764616; Reward = -102
Episode 661: Seed=62948; Reward = 6
Episode 662: Seed=868712; Reward = 30
Episode 663: Seed=733174; Reward = 9
Episode 664: Seed=723107; Reward = 29
Episode 665: Seed=779770; Reward = 19
Episode 666: Seed=902088; Reward = -2
Episode 667: Seed=939572; Reward = 18
Episode 668: Seed=594300; Reward = 22
Episode 669: Seed=703581; Reward = 0
Episode 670: Seed=145252; Reward = 11
Episode 671: Seed=405617; Reward = 23
Episode 672: Seed=79503; Reward = -11
Episode 673: Seed=771149; Reward = 20
Episode 674: Seed=963003; Reward = 25
Episode 675: Seed=974337; Reward = 8
Episode 676: Seed=737082; Reward = 48
Episode 677: Seed=674843; Reward = 30
Episode 678: Seed=553574; Reward = 24
Episode 679: Seed=498672; Reward = 7
Episode 680: Seed=21754; Reward = -98
Episode 681: Seed=306119; Reward = -1
Episode 682: Seed=792872; Reward = -11
Episode 683: Seed=501791; Reward = -838
Episode 684: Seed=987437; Reward = -1007
Episode 685: Seed=280764; Reward = 0
Episode 686: Seed=717536; Reward = 0
Episode 687: Seed=136344; Reward = -1
Episode 688: Seed=154948; Reward = 0
Episode 689: Seed=985869; Reward = -2
Episode 690: Seed=86698; Reward = 0
Episode 691: Seed=666996; Reward = -33
Episode 692: Seed=253450; Reward = 0
Episode 693: Seed=830236; Reward = -18
Episode 694: Seed=579464; Reward = -47
Episode 695: Seed=286600; Reward = 0
Episode 696: Seed=416545; Reward = -86
Episode 697: Seed=786208; Reward = 0
Episode 698: Seed=856162; Reward = 0
Episode 699: Seed=281001; Reward = -139
